1,SO64338,11820,103,8/22/2013,8/23/2013,8/28/2013,35,1,35
2,SO64625,17337,168,8/26/2013,8/27/2013,9/1/2013,9,1,9
3,SO69215,5865,226,11/1/2013,11/2/2013,11/7/2013,35,1,35
4,SO64339,5323,228,8/22/2013,8/23/2013,8/28/2013,25,1,25
5,SO64377,1374,157,8/23/2013,8/24/2013,8/29/2013,24,1,24
6,SO64379,2009,224,8/23/2013,8/24/2013,8/29/2013,25,1,25
7,SO64624,16675,169,8/26/2013,8/27/2013,9/1/2013,2,1,2
8,SO64340,10522,225,8/22/2013,8/23/2013,8/28/2013,30,1,30
9,SO64377,1374,128,8/23/2013,8/24/2013,8/29/2013,2320,1,2320
10,SO64340,10522,217,8/22/2013,8/23/2013,8/28/2013,5,1,5
11,SO64339,5323,218,8/22/2013,8/23/2013,8/28/2013,4,1,4
12,SO65340,16040,219,9/4/2013,9/5/2013,9/10/2013,5,1,5
13,SO64623,15792,227,8/26/2013,8/27/2013,9/1/2013,21,1,21
14,SO64743,14989,224,8/28/2013,8/29/2013,9/3/2013,25,1,25
15,SO64381,10996,169,8/23/2013,8/24/2013,8/29/2013,2,1,2
16,SO65338,11648,172,9/4/2013,9/5/2013,9/10/2013,120,1,120
17,SO65337,7161,129,9/4/2013,9/5/2013,9/10/2013,2295,1,2295
18,SO64744,503,217,8/28/2013,8/29/2013,9/3/2013,5,1,5
19,SO69215,5865,217,11/1/2013,11/2/2013,11/7/2013,5,1,5
20,SO43697,10769,14,12/29/2010,1/5/2011,1/10/2011,3578,1,3578
21,SO43700,3502,46,12/29/2010,1/5/2011,1/10/2011,699,1,699
22,SO43701,4,26,12/29/2010,1/5/2011,1/10/2011,3400,1,3400
23,SO43699,14864,26,12/29/2010,1/5/2011,1/10/2011,3400,1,3400
24,SO43698,17390,26,12/29/2010,1/5/2011,1/10/2011,3400,1,3400
25,SO43704,6,31,12/30/2010,1/6/2011,1/11/2011,3375,1,3375
26,SO43703,5625,14,12/30/2010,1/6/2011,1/11/2011,3578,1,3578
27,SO43705,12,24,12/30/2010,1/6/2011,1/11/2011,3400,1,3400
28,SO43702,16646,15,12/30/2010,1/6/2011,1/11/2011,3578,1,3578
29,SO43708,9043,43,12/31/2010,1/7/2011,1/12/2011,699,1,699
30,SO43709,5352,17,12/31/2010,1/7/2011,1/12/2011,3578,1,3578
31,SO43710,5518,18,12/31/2010,1/7/2011,1/12/2011,3578,1,3578
32,SO43706,16622,16,12/31/2010,1/7/2011,1/12/2011,3578,1,3578
33,SO43707,16617,16,12/31/2010,1/7/2011,1/12/2011,3578,1,3578
34,SO43711,16607,18,1/1/2011,1/8/2011,1/13/2011,3578,1,3578
35,SO43712,2514,15,1/1/2011,1/8/2011,1/13/2011,3578,1,3578
36,SO43715,5484,18,1/2/2011,1/9/2011,1/14/2011,3578,1,3578
37,SO43717,14250,46,1/2/2011,1/9/2011,1/14/2011,699,1,699
38,SO43713,16602,14,1/2/2011,1/9/2011,1/14/2011,3578,1,3578
39,SO43716,5530,15,1/2/2011,1/9/2011,1/14/2011,3578,1,3578
40,SO43714,2592,15,1/2/2011,1/9/2011,1/14/2011,3578,1,3578
41,SO43721,2591,14,1/3/2011,1/10/2011,1/15/2011,3578,1,3578
42,SO43719,16613,16,1/3/2011,1/10/2011,1/15/2011,3578,1,3578
43,SO43720,2265,15,1/3/2011,1/10/2011,1/15/2011,3578,1,3578
44,SO43718,16669,15,1/3/2011,1/10/2011,1/15/2011,3578,1,3578
45,SO43723,3521,44,1/4/2011,1/11/2011,1/16/2011,699,1,699
46,SO43722,2582,16,1/4/2011,1/11/2011,1/16/2011,3578,1,3578
47,SO43724,5521,15,1/4/2011,1/11/2011,1/16/2011,3578,1,3578
48,SO43726,3561,44,1/5/2011,1/12/2011,1/17/2011,699,1,699
49,SO43725,2259,15,1/5/2011,1/12/2011,1/17/2011,3578,1,3578
50,SO43727,5608,15,1/5/2011,1/12/2011,1/17/2011,3578,1,3578
51,SO43732,26,30,1/6/2011,1/13/2011,1/18/2011,3375,1,3375
52,SO43728,16667,17,1/6/2011,1/13/2011,1/18/2011,3578,1,3578
53,SO43731,5630,18,1/6/2011,1/13/2011,1/18/2011,3578,1,3578
54,SO43733,16578,16,1/6/2011,1/13/2011,1/18/2011,3578,1,3578
55,SO43729,239,26,1/6/2011,1/13/2011,1/18/2011,3400,1,3400
56,SO43730,14862,26,1/6/2011,1/13/2011,1/18/2011,3400,1,3400
57,SO43735,5523,14,1/7/2011,1/14/2011,1/19/2011,3578,1,3578
58,SO43734,16605,16,1/7/2011,1/14/2011,1/19/2011,3578,1,3578
59,SO43736,3,26,1/7/2011,1/14/2011,1/19/2011,3400,1,3400
60,SO43739,2564,14,1/8/2011,1/15/2011,1/20/2011,3578,1,3578
61,SO43738,607,16,1/8/2011,1/15/2011,1/20/2011,3578,1,3578
